term,stem,count,sample_size,ratio,google_w2v_x,google_w2v_y
"uyghur deployment","uyghur deployment","1","1000","0.001","",""
"utilize facial","utilize facial","1","1000","0.001","",""
"utilities usage","utilities usage","1","1000","0.001","",""
"utah washington","utah washington","1","1000","0.001","",""
"usually-empty hallway","usually-empty hallway","1","1000","0.001","",""
"ustelecom coordinating","ustelecom coordinating","1","1000","0.001","",""
"users users","users users","1","1000","0.001","",""
"users uploaded","users uploaded","1","1000","0.001","",""
"users unaware","users unaware","1","1000","0.001","",""
"users transparency","users transparency","1","1000","0.001","",""
"users third-party","users third-party","1","1000","0.001","",""
"users surveillance","users surveillance","1","1000","0.001","",""
"users submit","users submit","1","1000","0.001","",""
"users snapchat-style","users snapchat-style","1","1000","0.001","",""
"users securities","users securities","1","1000","0.001","",""
"users scores","users scores","1","1000","0.001","",""
"users scan","users scan","1","1000","0.001","",""
"users requests","users requests","1","1000","0.001","",""
"users queried","users queried","1","1000","0.001","",""
"users password","users password","1","1000","0.001","",""
"users login","users login","1","1000","0.001","",""
"users locations","users locations","1","1000","0.001","",""
"users james","users james","1","1000","0.001","",""
"users ios","users ios","1","1000","0.001","",""
"users interact","users interact","1","1000","0.001","",""
"users identities","users identities","1","1000","0.001","",""
"users harvested","users harvested","1","1000","0.001","",""
"users gaining","users gaining","1","1000","0.001","",""
"users facebook","users facebook","1","1000","0.001","",""
"users bipartisan","users bipartisan","1","1000","0.001","",""
"users apple's","users apple's","1","1000","0.001","",""
"users app","users app","1","1000","0.001","",""
"users ads","users ads","1","1000","0.001","",""
"usernames passwords","usernames passwords","1","1000","0.001","",""
"user's facial","user's facial","1","1000","0.001","",""
"useless friend's","useless friend's","1","1000","0.001","",""
"usd 64gb","usd 64gb","1","1000","0.001","",""
"usb-c ports","usb-c ports","1","1000","0.001","",""
"usb-c id","usb-c id","1","1000","0.001","",""
"usb-a usb-c","usb-a usb-c","1","1000","0.001","",""
"usage united","usage united","1","1000","0.001","",""
"usage neighbours","usage neighbours","1","1000","0.001","",""
"uploaded 1.5","uploaded 1.5","1","1000","0.001","",""
"upload deleting","upload deleting","1","1000","0.001","",""
"uphill controversial","uphill controversial","1","1000","0.001","",""
"upgraded priced","upgraded priced","1","1000","0.001","",""
"updates apps","updates apps","1","1000","0.001","",""
"updated unlock","updated unlock","1","1000","0.001","",""
"unveiled facial","unveiled facial","1","1000","0.001","",""
"unveil tech","unveil tech","1","1000","0.001","",""
"unthinkable surveillance","unthinkable surveillance","1","1000","0.001","",""
"untangle european","untangle european","1","1000","0.001","",""
"unscathed lawmakers","unscathed lawmakers","1","1000","0.001","",""
"unreliable donning","unreliable donning","1","1000","0.001","",""
"unrelated researchers","unrelated researchers","1","1000","0.001","",""
"unproven facial-recognition","unproven facial-recognition","1","1000","0.001","",""
"unprecedented liberties","unprecedented liberties","1","1000","0.001","",""
"unprecedented coordinated","unprecedented coordinated","1","1000","0.001","",""
"unnamed statehouse","unnamed statehouse","1","1000","0.001","",""
"unnamed intelligence","unnamed intelligence","1","1000","0.001","",""
"unlocks id","unlocks id","1","1000","0.001","",""
"unlocking iphone","unlocking iphone","1","1000","0.001","",""
"unlocking ipad","unlocking ipad","1","1000","0.001","",""
"unlock users","unlock users","1","1000","0.001","",""
"unlock smartphone","unlock smartphone","1","1000","0.001","",""
"unlock option","unlock option","1","1000","0.001","",""
"unlock google's","unlock google's","1","1000","0.001","",""
"unlock fingerprint","unlock fingerprint","1","1000","0.001","",""
"unlock apps","unlock apps","1","1000","0.001","",""
"unlock 3d","unlock 3d","1","1000","0.001","",""
"unjaded captured","unjaded captured","1","1000","0.001","",""
"university sri","university sri","1","1000","0.001","",""
"university professor","university professor","1","1000","0.001","",""
"university nanjing","university nanjing","1","1000","0.001","",""
"university ibm","university ibm","1","1000","0.001","",""
"unites progressives","unites progressives","1","1000","0.001","",""
"united technologies","united technologies","1","1000","0.001","",""
"united presidential","united presidential","1","1000","0.001","",""
"united france","united france","1","1000","0.001","",""
"united district","united district","1","1000","0.001","",""
"united china","united china","1","1000","0.001","",""
"united akin","united akin","1","1000","0.001","",""
"unintentionally uploaded","unintentionally uploaded","1","1000","0.001","",""
"unintended innovation","unintended innovation","1","1000","0.001","",""
